 IDnum	Economical_State	Export_Decision	U
1	Same	After_12_mos	0.267655
2	Same	After_12_mos	0.267655
3	Severely_bad	Now	0
4	Same	Now	1
5	Severely_bad	After_6_mos	0.468323
6	Same	After_12_mos	0.267655
7	Same	Now	1
8	Severely_bad	After_6_mos	0.468323
9	Same	After_12_mos	0.267655
10	Same	Now	1
11	Slightly_worse	Now	0.750073
12	Same	Now	1
13	Same	Now	1
14	Slightly_worse	After_12_mos	0.622203
15	Severely_bad	After_6_mos	0.468323
16	Same	After_6_mos	0.892473
17	Same	After_6_mos	0.892473
18	Severely_bad	After_6_mos	0.468323
19	Same	After_6_mos	0.892473
20	Severely_bad	After_12_mos	0.429236
21	Same	After_6_mos	0.892473
22	Slightly_worse	After_6_mos	0.697762
23	Severely_bad	Now	0
24	Severely_bad	After_6_mos	0.468323
25	Same	Now	1
26	Severely_bad	Now	0
27	Slightly_worse	After_12_mos	0.622203
28	Same	After_12_mos	0.267655
29	Same	After_6_mos	0.892473
30	Severely_bad	After_12_mos	0.429236
31	Slightly_worse	After_6_mos	0.697762
32	Same	Now	1
33	Severely_bad	Now	0
34	Severely_bad	Now	0
35	Severely_bad	Now	0
36	Slightly_worse	After_6_mos	0.697762
37	Severely_bad	After_6_mos	0.468323
38	Slightly_worse	Now	0.750073
39	Slightly_worse	After_12_mos	0.622203
40	Severely_bad	After_6_mos	0.468323
41	Same	After_6_mos	0.892473
42	Severely_bad	After_6_mos	0.468323
43	Same	Now	1
44	Severely_bad	Now	0
45	Same	After_6_mos	0.892473
46	Severely_bad	After_6_mos	0.468323
47	Slightly_worse	After_12_mos	0.622203
48	Slightly_worse	After_12_mos	0.622203
49	Severely_bad	After_12_mos	0.429236
50	Slightly_worse	After_6_mos	0.697762
51	Severely_bad	After_6_mos	0.468323
52	Slightly_worse	Now	0.750073
53	Severely_bad	After_12_mos	0.429236
54	Same	After_12_mos	0.267655
55	Slightly_worse	After_6_mos	0.697762
56	Same	After_6_mos	0.892473
57	Severely_bad	After_6_mos	0.468323
58	Same	After_12_mos	0.267655
59	Same	Now	1
60	Severely_bad	After_6_mos	0.468323
61	Severely_bad	After_6_mos	0.468323
62	Same	After_6_mos	0.892473
63	Slightly_worse	After_12_mos	0.622203
64	Same	After_6_mos	0.892473
65	Severely_bad	After_12_mos	0.429236
66	Slightly_worse	Now	0.750073
67	Slightly_worse	Now	0.750073
68	Same	After_12_mos	0.267655
69	Same	After_6_mos	0.892473
70	Severely_bad	After_6_mos	0.468323
71	Same	After_12_mos	0.267655
72	Slightly_worse	After_6_mos	0.697762
73	Same	After_6_mos	0.892473
74	Same	Now	1
75	Same	Now	1
76	Same	Now	1
77	Slightly_worse	Now	0.750073
78	Same	Now	1
79	Severely_bad	After_12_mos	0.429236
80	Severely_bad	After_6_mos	0.468323
81	Slightly_worse	After_6_mos	0.697762
82	Same	Now	1
83	Slightly_worse	Now	0.750073
84	Same	After_6_mos	0.892473
85	Severely_bad	After_6_mos	0.468323
86	Severely_bad	After_12_mos	0.429236
87	Same	After_6_mos	0.892473
88	Slightly_worse	Now	0.750073
89	Same	After_12_mos	0.267655
90	Slightly_worse	After_6_mos	0.697762
91	Slightly_worse	After_12_mos	0.622203
92	Slightly_worse	After_6_mos	0.697762
93	Same	After_6_mos	0.892473
94	Severely_bad	Now	0
95	Severely_bad	Now	0
96	Slightly_worse	After_6_mos	0.697762
97	Severely_bad	Now	0
98	Slightly_worse	Now	0.750073
99	Slightly_worse	After_12_mos	0.622203
100	Same	After_6_mos	0.892473
101	Severely_bad	After_6_mos	0.468323
102	Severely_bad	After_12_mos	0.429236
103	Severely_bad	Now	0
104	Same	After_6_mos	0.892473
105	Slightly_worse	After_6_mos	0.697762
106	Same	After_12_mos	0.267655
107	Severely_bad	Now	0
108	Slightly_worse	Now	0.750073
109	Severely_bad	After_12_mos	0.429236
110	Severely_bad	After_6_mos	0.468323
111	Severely_bad	After_6_mos	0.468323
112	Slightly_worse	Now	0.750073
113	Slightly_worse	After_6_mos	0.697762
114	Severely_bad	After_6_mos	0.468323
115	Same	Now	1
116	Severely_bad	Now	0
117	Severely_bad	Now	0
118	Same	After_12_mos	0.267655
119	Slightly_worse	Now	0.750073
120	Slightly_worse	After_6_mos	0.697762
121	Slightly_worse	After_6_mos	0.697762
122	Severely_bad	After_12_mos	0.429236
123	Same	After_6_mos	0.892473
124	Severely_bad	After_12_mos	0.429236
125	Same	After_6_mos	0.892473
126	Slightly_worse	After_12_mos	0.622203
127	Same	Now	1
128	Same	After_6_mos	0.892473
129	Same	After_12_mos	0.267655
130	Same	After_12_mos	0.267655
131	Slightly_worse	After_6_mos	0.697762
132	Severely_bad	After_6_mos	0.468323
133	Same	Now	1
134	Severely_bad	Now	0
135	Slightly_worse	After_6_mos	0.697762
136	Slightly_worse	After_12_mos	0.622203
137	Slightly_worse	Now	0.750073
138	Same	After_12_mos	0.267655
139	Same	After_6_mos	0.892473
140	Slightly_worse	Now	0.750073
141	Slightly_worse	Now	0.750073
142	Same	After_12_mos	0.267655
143	Severely_bad	After_12_mos	0.429236
144	Severely_bad	After_12_mos	0.429236
145	Same	After_6_mos	0.892473
146	Same	Now	1
147	Same	After_6_mos	0.892473
148	Severely_bad	After_6_mos	0.468323
149	Same	Now	1
150	Slightly_worse	After_6_mos	0.697762
151	Severely_bad	After_12_mos	0.429236
152	Severely_bad	After_12_mos	0.429236
153	Same	After_12_mos	0.267655
154	Same	After_12_mos	0.267655
155	Slightly_worse	After_6_mos	0.697762
156	Slightly_worse	After_6_mos	0.697762
157	Same	After_6_mos	0.892473
158	Severely_bad	After_12_mos	0.429236
159	Severely_bad	After_12_mos	0.429236
160	Slightly_worse	Now	0.750073
161	Severely_bad	Now	0
162	Same	Now	1
163	Same	After_12_mos	0.267655
164	Same	Now	1
165	Severely_bad	After_12_mos	0.429236
166	Same	After_6_mos	0.892473
167	Slightly_worse	After_6_mos	0.697762
168	Same	After_6_mos	0.892473
169	Slightly_worse	After_6_mos	0.697762
170	Same	After_12_mos	0.267655
171	Same	After_12_mos	0.267655
172	Severely_bad	Now	0
173	Severely_bad	Now	0
174	Same	After_6_mos	0.892473
175	Severely_bad	After_6_mos	0.468323
176	Severely_bad	After_12_mos	0.429236
177	Slightly_worse	Now	0.750073
178	Slightly_worse	Now	0.750073
179	Slightly_worse	After_12_mos	0.622203
180	Slightly_worse	After_6_mos	0.697762
181	Same	After_6_mos	0.892473
182	Severely_bad	After_12_mos	0.429236
183	Severely_bad	After_12_mos	0.429236
184	Severely_bad	Now	0
185	Same	After_6_mos	0.892473
186	Same	After_12_mos	0.267655
187	Same	After_6_mos	0.892473
188	Severely_bad	Now	0
189	Same	Now	1
190	Slightly_worse	Now	0.750073
191	Slightly_worse	After_6_mos	0.697762
192	Same	After_6_mos	0.892473
193	Slightly_worse	After_6_mos	0.697762
194	Severely_bad	Now	0
