 IDnum	Rework_Decision	Logic_board_fail	IO_board_fail	System_State	Rework_Outcome	Rework_Cost
1	Logic_board	Yes	Yes	Failed	L0_IO0	1
2	Logic_board	Yes	No	Failed	L0_IO1	0.285714
3	Logic_board	Yes	Yes	Failed	L0_IO0	1
4	IO_board	No	No	Operational	L0_IO0	1
5	IO_board	Yes	No	Failed	L0_IO1	0.571429
6	IO_board	Yes	No	Failed	L0_IO1	0.571429
7	Logic_board	No	No	Operational	L0_IO0	1
8	IO_board	Yes	No	Failed	L0_IO1	0.571429
9	Logic_board	No	Yes	Failed	L1_IO0	0.428571
10	IO_board	Yes	Yes	Failed	L0_IO0	1
11	Logic_board	Yes	No	Failed	L0_IO1	0.285714
12	IO_board	Yes	Yes	Failed	L0_IO0	1
13	IO_board	Yes	Yes	Failed	L0_IO0	1
14	IO_board	Yes	No	Failed	L0_IO1	0.571429
15	Logic_board	Yes	No	Failed	L0_IO1	0.285714
16	Logic_board	Yes	No	Failed	L0_IO1	0.285714
17	Logic_board	Yes	No	Failed	L0_IO1	0.285714
18	IO_board	Yes	Yes	Failed	L0_IO0	1
19	Logic_board	Yes	No	Failed	L0_IO1	0.285714
20	IO_board	Yes	No	Failed	L0_IO1	0.571429
21	IO_board	Yes	No	Failed	L0_IO1	0.571429
22	Logic_board	Yes	No	Failed	L0_IO1	0.285714
23	Logic_board	Yes	Yes	Failed	L0_IO0	1
24	IO_board	Yes	No	Failed	L0_IO1	0.571429
25	IO_board	Yes	No	Failed	L0_IO1	0.571429
26	Logic_board	Yes	No	Failed	L0_IO1	0.285714
27	Logic_board	Yes	No	Failed	L0_IO1	0.285714
28	Logic_board	Yes	No	Failed	L0_IO1	0.285714
29	IO_board	Yes	Yes	Failed	L0_IO0	1
30	Logic_board	Yes	No	Failed	L0_IO1	0.285714
31	IO_board	Yes	No	Failed	L0_IO1	0.571429
32	IO_board	Yes	No	Failed	L0_IO1	0.571429
33	Logic_board	Yes	No	Failed	L0_IO1	0.285714
34	Logic_board	Yes	No	Failed	L0_IO1	0.285714
35	Logic_board	Yes	No	Failed	L0_IO1	0.285714
36	Logic_board	Yes	No	Failed	L0_IO1	0.285714
37	Logic_board	Yes	No	Failed	L0_IO1	0.285714
38	Logic_board	Yes	No	Failed	L0_IO1	0.285714
39	IO_board	Yes	No	Failed	L0_IO1	0.571429
40	Logic_board	Yes	No	Failed	L0_IO1	0.285714
41	Logic_board	Yes	Yes	Failed	L0_IO0	1
42	Logic_board	Yes	No	Failed	L0_IO1	0.285714
43	Logic_board	Yes	No	Failed	L0_IO1	0.285714
44	IO_board	Yes	Yes	Failed	L0_IO0	1
45	Logic_board	Yes	No	Failed	L0_IO1	0.285714
46	IO_board	Yes	No	Failed	L0_IO1	0.571429
47	IO_board	Yes	No	Failed	L0_IO1	0.571429
48	IO_board	Yes	No	Failed	L0_IO1	0.571429
49	Logic_board	Yes	No	Failed	L0_IO1	0.285714
50	IO_board	Yes	No	Failed	L0_IO1	0.571429
51	Logic_board	Yes	No	Failed	L0_IO1	0.285714
52	Logic_board	Yes	Yes	Failed	L0_IO0	1
53	IO_board	Yes	No	Failed	L0_IO1	0.571429
54	IO_board	Yes	No	Failed	L0_IO1	0.571429
55	IO_board	Yes	No	Failed	L0_IO1	0.571429
56	IO_board	Yes	No	Failed	L0_IO1	0.571429
57	Logic_board	Yes	No	Failed	L0_IO1	0.285714
58	IO_board	Yes	No	Failed	L0_IO1	0.571429
59	IO_board	No	No	Operational	L0_IO0	1
60	Logic_board	Yes	No	Failed	L0_IO1	0.285714
61	IO_board	Yes	No	Failed	L0_IO1	0.571429
62	IO_board	Yes	No	Failed	L0_IO1	0.571429
63	IO_board	No	No	Operational	L0_IO0	1
64	IO_board	Yes	No	Failed	L0_IO1	0.571429
65	IO_board	No	No	Operational	L0_IO0	1
66	IO_board	Yes	No	Failed	L0_IO1	0.571429
67	Logic_board	Yes	No	Failed	L0_IO1	0.285714
68	IO_board	Yes	No	Failed	L0_IO1	0.571429
69	Logic_board	No	No	Operational	L0_IO0	1
70	Logic_board	Yes	No	Failed	L0_IO1	0.285714
71	Logic_board	Yes	Yes	Failed	L0_IO0	1
72	IO_board	Yes	No	Failed	L0_IO1	0.571429
73	IO_board	Yes	No	Failed	L0_IO1	0.571429
74	Logic_board	Yes	No	Failed	L0_IO1	0.285714
75	Logic_board	Yes	Yes	Failed	L0_IO0	1
76	IO_board	Yes	No	Failed	L0_IO1	0.571429
77	IO_board	Yes	No	Failed	L0_IO1	0.571429
78	IO_board	Yes	No	Failed	L0_IO1	0.571429
79	Logic_board	Yes	No	Failed	L0_IO1	0.285714
