 IDnum	Installation_Type	Coal_Worker_Strike	Strike_Resolution	Strike_Intervention	Additional_Cost
1	Install_scrubbers	No	Quick	Yes	0.7
2	Install_scrubbers	Yes	Quick	No	0.7
3	New_cleaner_coal	Yes	Quick	No	0.7
4	Install_scrubbers	No	Quick	No	0.7
5	Install_scrubbers	No	Quick	No	0.7
6	Install_scrubbers	Yes	Lengthy	No	0.7
7	New_cleaner_coal	No	Quick	No	1
8	Install_scrubbers	Yes	Quick	Yes	0.7
9	Install_scrubbers	No	Quick	No	0.7
10	Install_scrubbers	Yes	Quick	No	0.7
11	New_cleaner_coal	Yes	Quick	Yes	0.4
12	Install_scrubbers	Yes	Quick	No	0.7
13	New_cleaner_coal	Yes	Quick	Yes	0.4
14	Install_scrubbers	Yes	Quick	Yes	0.7
15	New_cleaner_coal	No	Quick	Yes	1
16	New_cleaner_coal	Yes	Lengthy	No	0.3
17	Install_scrubbers	Yes	Quick	Yes	0.7
18	Install_scrubbers	Yes	Quick	Yes	0.7
19	Install_scrubbers	No	Quick	Yes	0.7
20	New_cleaner_coal	Yes	Quick	Yes	0.4
21	Install_scrubbers	Yes	Quick	Yes	0.7
22	Install_scrubbers	Yes	Quick	No	0.7
23	Install_scrubbers	Yes	Quick	No	0.7
24	New_cleaner_coal	Yes	Lengthy	No	0.3
25	Install_scrubbers	Yes	Quick	No	0.7
26	Install_scrubbers	No	Quick	Yes	0.7
27	New_cleaner_coal	Yes	Quick	No	0.7
28	New_cleaner_coal	No	Lengthy	No	1
29	Install_scrubbers	Yes	Quick	No	0.7
30	New_cleaner_coal	No	Quick	Yes	1
31	New_cleaner_coal	Yes	Quick	No	0.7
32	New_cleaner_coal	No	Lengthy	No	1
33	New_cleaner_coal	Yes	Lengthy	No	0.3
34	Install_scrubbers	Yes	Lengthy	No	0.7
35	Install_scrubbers	No	Quick	Yes	0.7
36	Install_scrubbers	Yes	Quick	No	0.7
37	New_cleaner_coal	No	Quick	Yes	1
38	Install_scrubbers	No	Lengthy	No	0.7
39	New_cleaner_coal	Yes	Quick	No	0.7
40	Install_scrubbers	No	Quick	Yes	0.7
41	Install_scrubbers	No	Quick	Yes	0.7
42	Install_scrubbers	Yes	Lengthy	Yes	0.7
43	New_cleaner_coal	Yes	Lengthy	No	0.3
44	New_cleaner_coal	Yes	Quick	Yes	0.4
45	New_cleaner_coal	Yes	Quick	No	0.7
46	Install_scrubbers	No	Quick	No	0.7
47	Install_scrubbers	Yes	Quick	Yes	0.7
48	Install_scrubbers	Yes	Quick	No	0.7
49	Install_scrubbers	Yes	Quick	No	0.7
50	New_cleaner_coal	Yes	Lengthy	No	0.3
51	Install_scrubbers	Yes	Quick	Yes	0.7
52	New_cleaner_coal	Yes	Quick	Yes	0.4
53	New_cleaner_coal	Yes	Quick	No	0.7
54	Install_scrubbers	Yes	Quick	Yes	0.7
55	Install_scrubbers	Yes	Quick	No	0.7
56	New_cleaner_coal	No	Lengthy	Yes	1
57	Install_scrubbers	Yes	Quick	No	0.7
58	Install_scrubbers	No	Quick	Yes	0.7
59	New_cleaner_coal	No	Quick	No	1
60	Install_scrubbers	Yes	Quick	No	0.7
61	New_cleaner_coal	Yes	Quick	No	0.7
62	New_cleaner_coal	Yes	Lengthy	No	0.3
63	New_cleaner_coal	No	Quick	No	1
64	New_cleaner_coal	Yes	Quick	No	0.7
65	New_cleaner_coal	No	Quick	Yes	1
66	New_cleaner_coal	Yes	Quick	Yes	0.4
67	New_cleaner_coal	No	Lengthy	No	1
68	New_cleaner_coal	Yes	Quick	No	0.7
69	Install_scrubbers	No	Quick	Yes	0.7
70	Install_scrubbers	Yes	Quick	Yes	0.7
71	New_cleaner_coal	Yes	Quick	Yes	0.4
72	New_cleaner_coal	Yes	Quick	Yes	0.4
73	Install_scrubbers	Yes	Quick	No	0.7
74	New_cleaner_coal	Yes	Quick	No	0.7
75	New_cleaner_coal	Yes	Quick	Yes	0.4
76	Install_scrubbers	Yes	Lengthy	No	0.7
77	New_cleaner_coal	Yes	Quick	No	0.7
78	Install_scrubbers	No	Quick	No	0.7
79	New_cleaner_coal	No	Quick	Yes	1
80	New_cleaner_coal	No	Quick	No	1
81	New_cleaner_coal	No	Quick	Yes	1
82	New_cleaner_coal	No	Quick	Yes	1
83	Install_scrubbers	No	Quick	No	0.7
84	Install_scrubbers	No	Quick	No	0.7
85	New_cleaner_coal	No	Quick	Yes	1
86	New_cleaner_coal	No	Quick	Yes	1
87	New_cleaner_coal	Yes	Quick	Yes	0.4
88	New_cleaner_coal	Yes	Lengthy	No	0.3
89	New_cleaner_coal	Yes	Lengthy	No	0.3
90	Install_scrubbers	No	Quick	No	0.7
91	Install_scrubbers	Yes	Quick	No	0.7
92	Install_scrubbers	No	Quick	No	0.7
93	New_cleaner_coal	Yes	Quick	Yes	0.4
94	Install_scrubbers	Yes	Quick	Yes	0.7
95	Install_scrubbers	Yes	Quick	Yes	0.7
96	Install_scrubbers	No	Lengthy	No	0.7
97	New_cleaner_coal	No	Lengthy	Yes	1
98	Install_scrubbers	Yes	Quick	Yes	0.7
99	New_cleaner_coal	No	Quick	No	1
100	Install_scrubbers	Yes	Lengthy	No	0.7
101	New_cleaner_coal	Yes	Quick	Yes	0.4
102	New_cleaner_coal	No	Quick	Yes	1
103	New_cleaner_coal	Yes	Quick	Yes	0.4
104	Install_scrubbers	Yes	Quick	No	0.7
105	Install_scrubbers	Yes	Quick	Yes	0.7
106	New_cleaner_coal	No	Quick	Yes	1
107	New_cleaner_coal	No	Quick	No	1
108	New_cleaner_coal	No	Quick	Yes	1
109	Install_scrubbers	Yes	Quick	Yes	0.7
110	New_cleaner_coal	No	Quick	Yes	1
111	Install_scrubbers	Yes	Quick	No	0.7
112	Install_scrubbers	No	Lengthy	No	0.7
113	Install_scrubbers	Yes	Quick	No	0.7
114	New_cleaner_coal	Yes	Quick	No	0.7
115	New_cleaner_coal	Yes	Quick	No	0.7
116	New_cleaner_coal	No	Quick	No	1
117	Install_scrubbers	Yes	Quick	Yes	0.7
118	New_cleaner_coal	No	Quick	No	1
119	New_cleaner_coal	Yes	Quick	No	0.7
120	Install_scrubbers	Yes	Quick	No	0.7
121	New_cleaner_coal	No	Lengthy	No	1
122	New_cleaner_coal	Yes	Quick	No	0.7
123	New_cleaner_coal	No	Quick	No	1
124	Install_scrubbers	Yes	Lengthy	No	0.7
125	New_cleaner_coal	Yes	Quick	Yes	0.4
126	New_cleaner_coal	No	Lengthy	No	1
127	New_cleaner_coal	Yes	Quick	Yes	0.4
128	Install_scrubbers	Yes	Quick	No	0.7
129	New_cleaner_coal	Yes	Quick	No	0.7
130	New_cleaner_coal	No	Lengthy	Yes	1
131	Install_scrubbers	Yes	Lengthy	No	0.7
132	New_cleaner_coal	No	Quick	Yes	1
133	Install_scrubbers	No	Quick	No	0.7
134	Install_scrubbers	No	Quick	No	0.7
135	New_cleaner_coal	No	Lengthy	No	1
136	Install_scrubbers	Yes	Lengthy	No	0.7
137	New_cleaner_coal	No	Quick	No	1
138	New_cleaner_coal	Yes	Quick	Yes	0.4
139	New_cleaner_coal	Yes	Quick	Yes	0.4
140	Install_scrubbers	Yes	Quick	No	0.7
